trained_on,trained_on_label,science,aokvqa,charts,documents,vqav2
science_answer_only,"ScienceQA
answer-only",0.8,0.805,0.645,0.7029,0.63
science_rationale_ce,"ScienceQA
rationale CE",0.78,0.76,0.45,0.5585,0.3
science_expl_aware,"ScienceQA
expl.-aware",0.74,0.765,0.46,0.4905,0.41
aokvqa_answer_only,"A-OKVQA
answer-only",0.69,0.825,0.635,0.6767,0.7
aokvqa_rationale_ce,"A-OKVQA
rationale CE",0.665,0.79,0.645,0.764,0.6
aokvqa_expl_aware,"A-OKVQA
expl.-aware",0.68,0.795,0.615,0.7628,0.64
charts_answer_only,"ChartQA
answer-only",0.42,0.415,0.66,0.8309,0.68
documents_answer_only,"DocVQA
answer-only",0.45,0.435,0.685,0.9102,0.66
vqav2_answer_only,"VQAv2
answer-only",0.44,0.575,0.66,0.7161,0.73
